state,abbreviation,year,lat,lng,population,raw_need_score,need_index,ami,smi,mde_adult,mde_youth,suicide_rate,substance_use_disorder,public_mh_spending_per_capita,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score,medicaid_share_of_public_mh,provider_density_per_100k,medicaid_expansion_status,medicaid_expansion_label,financing_status
Delaware,DE,2018,39.3,-75.5,990837,-1.1425,37,22.14,5.6,8.6,16.58,12.8,17.62,371.11,365.52,5.59,0.45,49.8,197.9,1,Expansion,Modeled fallback
Florida,FL,2018,27.7,-81.4,22610726,-2.4986,22.4,20.81,4.54,7.64,16.33,14.4,15.64,348.62,356.03,-7.41,-0.59,46.3,161.7,0,Non-expansion,Modeled fallback
Georgia,GA,2018,33,-83.6,10912876,-0.9257,39.4,25.23,5.81,8.16,15.02,14.8,17.61,348.82,367.08,-18.26,-1.46,47.6,113.8,0,Non-expansion,Modeled fallback
Hawaii,HI,2018,21.1,-157.5,1435138,-3.9301,7,19.82,4.27,6.08,14.81,15.3,14.36,355.3,346.02,9.28,0.74,49.1,177.1,1,Expansion,Modeled fallback
Idaho,ID,2018,44.2,-114,1964726,0.7157,57.1,24.46,5.92,9.4,18.49,23.3,16.43,366.7,378.59,-11.89,-0.95,49.7,152.8,0,Non-expansion,Modeled fallback
Illinois,IL,2018,40.3,-88.9,12549689,-1.3914,34.4,22.19,5.2,7.83,17.25,11.9,18.31,368.48,363.83,4.65,0.37,48.8,199.4,1,Expansion,Modeled fallback
Indiana,IN,2018,39.8,-86.3,6862199,0.1643,51.1,25.31,6.78,9.16,16.04,17,16.55,374.28,374.69,-0.41,-0.03,48.5,212.4,1,Expansion,Modeled fallback
Iowa,IA,2018,42,-93.2,3207287,1.8781,69.6,24.99,7.09,10.22,20.3,15.5,17.97,382.36,386.71,-4.35,-0.35,52.3,166.3,1,Expansion,Modeled fallback
Kansas,KS,2018,38.5,-96.7,2937880,-0.0195,49.2,23.68,6.18,8.35,18.13,19.6,16.53,365.23,373.45,-8.22,-0.66,49.5,150.8,0,Non-expansion,Modeled fallback
Kentucky,KY,2018,37.7,-84.7,4505836,1.0128,60.3,25.26,6.92,10.12,17.13,17.5,17.31,381.43,380.67,0.76,0.06,48,229,1,Expansion,Modeled fallback
Louisiana,LA,2018,31.2,-91.9,4657757,-1.2015,36.4,24.06,5.78,7.74,15.35,15.6,17.47,357.04,365.13,-8.09,-0.65,45,182.9,1,Expansion,Modeled fallback
Maine,ME,2018,45.3,-69.4,1395231,3.1315,83.2,26.68,6.28,11.47,20.31,18.5,22.38,406.97,395.55,11.42,0.92,53.8,224.4,0,Non-expansion,Modeled fallback
Maryland,MD,2018,39.1,-76.8,6177224,-1.4432,33.8,22.7,5.14,8.21,18.25,9.3,15.83,376,363.44,12.56,1.01,49.6,210.9,1,Expansion,Modeled fallback
Massachusetts,MA,2018,42.2,-71.5,7001399,-0.5213,43.7,24.89,5.88,8.79,15.95,8.6,19.91,383.26,369.88,13.38,1.07,51.5,433.7,1,Expansion,Modeled fallback
Michigan,MI,2018,43.3,-84.5,9986857,-0.9726,38.9,23.57,5.18,8.54,16.65,14.9,17.43,368.67,366.76,1.91,0.15,47.9,201.5,1,Expansion,Modeled fallback
Minnesota,MN,2018,45.7,-93.9,5737915,-0.905,39.6,22.55,5.76,8.41,18.07,13.8,15.64,380.77,367.21,13.56,1.09,50.8,235.4,1,Expansion,Modeled fallback
Mississippi,MS,2018,32.7,-89.7,2939690,-2.6817,20.4,20.45,4.76,6.83,16,15.5,16.39,329.31,354.73,-25.42,-2.04,42.9,118.9,0,Non-expansion,Modeled fallback
Missouri,MO,2018,38.5,-92.3,6196911,1.3874,64.3,25.67,6.58,9.04,19.17,18,19.39,380.32,383.27,-2.95,-0.24,48.7,198,0,Non-expansion,Modeled fallback
Montana,MT,2018,47,-109.6,1084225,2.3024,74.2,25.59,6.87,9.77,17.54,26.6,22.18,399.57,389.7,9.87,0.79,50.7,259,1,Expansion,Modeled fallback
Nebraska,NE,2018,41.5,-99.9,1961504,0.7286,57.2,24.09,6.85,10.21,18.33,14.5,15.97,382.76,378.65,4.11,0.33,51,207.9,0,Non-expansion,Modeled fallback
Nevada,NV,2018,38.3,-117.1,3194176,1.5518,66.1,24.64,6.65,8.85,18.82,20.3,21.74,365.16,384.44,-19.28,-1.54,48.4,130.8,1,Expansion,Modeled fallback
New Hampshire,NH,2018,43.5,-71.6,1454674,2.6033,77.5,27.7,7.55,10.36,20.27,14.6,18.12,403.55,391.85,11.7,0.94,53.7,286.5,1,Expansion,Modeled fallback
New Jersey,NJ,2018,40.2,-74.5,9290841,-4.5748,0,18.1,4,6.18,15.61,7.2,14.73,356.94,341.47,15.47,1.24,48.2,237,1,Expansion,Modeled fallback
New Mexico,NM,2018,34.8,-106.2,2117522,1.5661,66.3,23.89,6.12,9.55,19.81,22.8,19.8,367.66,384.57,-16.91,-1.35,46.9,150.1,1,Expansion,Modeled fallback
New York,NY,2018,42.2,-74.9,19571216,-2.6054,21.3,21.87,4.73,7.7,15.27,8.3,17.29,369.72,355.32,14.4,1.15,49.4,251.4,1,Expansion,Modeled fallback
North Carolina,NC,2018,35.6,-79,10439388,-2.247,25.1,21.4,5,8.09,15.89,14.3,14.82,347.72,357.79,-10.07,-0.81,46.1,147.3,0,Non-expansion,Modeled fallback
North Dakota,ND,2018,47.5,-99.8,780841,-0.4353,44.7,22.99,6.27,8.85,16.4,17.8,16.82,379.5,370.53,8.97,0.72,50.8,212.1,1,Expansion,Modeled fallback
